CRT-code,CRT-name,IPCC2006-code,IPCC2006-name,NOTE
1,Energy,,,
1, Total Energy,1,Energy,Energy
1.A.,Fuel combustion activities (sectoral approach),1A,Fuel Combustion Activities,
1.A.1.,Energy industries,1A1,Energy Industries,
1.A.1.a.,Public electricity and heat production,1A1a,Main Activity Electricity and Heat Production,
1.A.1.a.i.,Electricity generation,1A1ai,Electricity Generation,
1.A.1.a.ii.,Combined heat and power generation,1A1aii,Combined Heat and Power Generation (CHP),
1.A.1.a.iii.,Heat plants,1A1aiii,Heat Plants,
1.A.1.b.,Petroleum refining,1A1b,Petroleum Refining,
1.A.1.c.,Manufacture ofsolid fuels and other energy industries,1A1c,Manufacture ofsolid Fuels and Other Energy Industries,
1.A.1.c.i.,Manufacture ofsolid fuels,1A1ci,Manufacture ofsolid Fuels,
1.A.1.c.ii.,Oil and gas extraction,,,"This category is included in the IPCC Other energy industries"" as a sub-element"
1.A.1.c.iii.,Other energy industries,1A1cii,Other Energy Industries,
1.A.2.,Manufacturing industries and construction,1A2,Manufacturing Industries and Construction,
1.A.2.a.,Iron andsteel,1A2a,Iron andsteel,
1.A.2.b.,Non-ferrous metals,1A2b,Non-Ferrous Metals,
1.A.2.c.,Chemicals,1A2c,Chemicals,
1.A.2.d.,"Pulp, paper and print",1A2d,"Pulp, Paper and Print",
1.A.2.e.,"Food processing, beverages and tobacco",1A2e,"Food Processing, Beverages and Tobacco",
1.A.2.f.,Non-metallic minerals,1A2f,Non-Metallic Minerals,
1.A.2.g.,Other,,,This CRT category is calculated based onsub-categories listed in the drop-down list. 
1.A.2.g.i.,Manufacturing of machinery,1A2h,Machinery,
1.A.2.g.ii.,Manufacturing of transport equipment,1A2g,Transport Equipment,
1.A.2.g.iii.,Mining (excluding fuels) and quarrying,1A2i,Mining (excluding fuels) and Quarrying,
1.A.2.g.iv.,Wood and wood products,1A2j,Wood and Wood Products,
1.A.2.g.v.,Construction,1A2k,Construction,
1.A.2.g.vi.,Textile and leather,1A2l,Textile and Leather,
1.A.2.g.vii.,Off-road vehicles and other machinery,1A3eii,Off-road,This IPCC category covers multiple CRT categories.
1.A.2.g.viii.,Other (please specify),1A2m,Non-specified Industry,
1.A.3.,Transport,1A3,Transport,
1.A.3.a.,Domestic aviation,1A3aii,Domestic Aviation,
1.A.3.b.,Road transportation,1A3b,Road Transportation,
1.A.3.b.i.,Cars,1A3bi,Cars,
,,1A3bi1,Passenger Cars With 3-way Catalysts,
,,1A3bi2,Passenger Cars Without 3-way Catalysts,
1.A.3.b.ii.,Light duty trucks,1A3bii,Light-duty Trucks,
,,1A3bii1,Light-duty Trucks With 3-way Catalysts,
,,1A3bii2,Light-duty Trucks Without 3-way Catalysts,
1.A.3.b.iii.,Heavy duty trucks and buses,1A3biii,Heavy-duty Trucks and Buses,
1.A.3.b.iv.,Motorcycles,1A3biv,Motorcycles,
1.A.3.b.v.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
,,1A3bv,Evaporative Emissions from Vehicles,
1.A.3.c.,Railways,1A3c,Railways,
1.A.3.d.,Domestic navigation,1A3dii,Domestic Water-borne Navigation,
1.A.3.e.,Other transportation,1A3e,Other Transportation,
1.A.3.e.i.,Pipeline transport,1A3ei,Pipeline Transport,
1.A.3.e.ii.,Other (please specify),,,This CRT category is calculated based on country-specific sub-categories in the CRT.
,,1A3eii,Off-road,This IPCC category covers multiple CRT categories.
1.A.4.,Other sectors,1A4,Other sectors,
1.A.4.a.,Commercial/institutional,1A4a,Commercial/Institutional,
1.A.4.a.i.,Stationary combustion,,,
1.A.4.a.ii.,Off-road vehicles and other machinery,1A3eii,Off-road,Off-road This IPCC category covers multiple CRT categories.
1.A.4.b.,Residential,1A4b,Residential,
1.A.4.b.i.,Stationary combustion,,,
1.A.4.b.ii.,Off-road vehicles and other machinery,1A3eii,Off-road,Off-road This IPCC category covers multiple CRT categories.
1.A.4.c.,Agriculture/forestry/fishing,1A4c,Agriculture/Forestry/Fishing/Fish Farms,
1.A.4.c.i.,Stationary,1A4ci,Stationary,
1.A.4.c.ii.,Off-road vehicles and other machinery,1A4cii,Off-road Vehicles and Other Machinery,
1.A.4.c.iii.,Fishing,1A4ciii,Fishing (mobile combustion),
1.A.5.,Other,1A5,Non-Specified,
1.A.5.a.,Stationary,1A5a,Stationary,
1.A.5.b.,Mobile,1A5b,Mobile,
,,1A5bi,Mobile (Aviation Component),
,,1A5bii,Mobile (Water-borne Component),
,,1A5biii,Mobile (Other),
