variable,IPCC1996,IPCC2006
emi_ch4_1A1a_Combustion_Electricity_Generation_Coal,1A1a,1A1a
emi_ch4_1A1a_Combustion_Electricity_Generation_Distillate_Fuel,1A1a,1A1a
emi_ch4_1A1a_Combustion_Electricity_Generation_Natural_Gas,1A1a,1A1a
emi_ch4_1A1a_Combustion_Electricity_Generation_Residual_Oil,1A1a,1A1a
emi_ch4_1A1a_Combustion_Electricity_Generation_Wood,1A1a,1A1a
emi_ch4_1A2_Combustion_Industry_Coal,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Distillate_Fuel,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Kerosene,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Liquid_Petroleum_Gas,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Natural_Gas,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Petroleum_Coke,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Residual_Oil,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Special_Naphthas,1A2,1A2
emi_ch4_1A2_Combustion_Industry_Wood,1A2,1A2
emi_ch4_1A3a_Combustion_Civil_Aviation,1A3a,1A3a
emi_ch4_1A3b_Combustion_Road_Compressed_Natural_Gas,1A3b,1A3b
emi_ch4_1A3b_Combustion_Road_Diesel,1A3b,1A3b
emi_ch4_1A3b_Combustion_Road_Gasoline,1A3b,1A3b
emi_ch4_1A3c_Combustion_Railways,1A3c,1A3c
emi_ch4_1A3d_Combustion_Navigation,1A3d,1A3d
emi_ch4_1A3e1_Combustion_Pipeline_Transport_Natural_Gas,1A3e1,1A3ei
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Agriculture,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Commercial_Industrial,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Construction,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Lawn_Garden,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Military,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Misc_Diesel,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Misc_Gasoline,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Public_Nonhighway,1A3e2,1A3eii
emi_ch4_1A3e2_Combustion_Mobile_Offroad_Recreational_Vehicles,1A3e2,1A3eii
emi_ch4_1A4a_Combustion_Commercial_Distillate_Fuel,1A4a,1A4a
emi_ch4_1A4a_Combustion_Commercial_Kerosene,1A4a,1A4a
emi_ch4_1A4a_Combustion_Commercial_Liquid_Petroleum_Gas,1A4a,1A4a
emi_ch4_1A4a_Combustion_Commercial_Natural_Gas,1A4a,1A4a
emi_ch4_1A4a_Combustion_Commercial_Residual_Oil,1A4a,1A4a
emi_ch4_1A4a_Combustion_Commercial_Wood,1A4a,1A4a
emi_ch4_1A4b_Combustion_Residential_Distillate_Fuel,1A4b,1A4b
emi_ch4_1A4b_Combustion_Residential_Kerosene,1A4b,1A4b
emi_ch4_1A4b_Combustion_Residential_Liquid_Petroleum_Gas,1A4b,1A4b
emi_ch4_1A4b_Combustion_Residential_Natural_Gas,1A4b,1A4b
emi_ch4_1A4b_Combustion_Residential_Wood,1A4b,1A4b
emi_ch4_1A5a_Combustion_Stationary_Oil_gas_drill_rigs,1A5a,1A5a
emi_ch4_1B2a1_Oil_Mud_degassing,1B2a1,1B2aiii1
emi_ch4_1B2a1_Oil_Natural_Gas_Drilling_fugitives,1B2a1,1B2aiii1
emi_ch4_1B2a1_Oil_Well_completions,1B2a1,1B2aiii1
emi_ch4_1B2a2_Oil_Production,1B2a2,1B2aiii2
emi_ch4_1B2a4_Oil_Refining_Storage,1B2a4,1B2aiii4
emi_ch4_1B2b1_Natural_Gas_High_producing_wells,1B2b1,1B2biii2
emi_ch4_1B2b1_Natural_Gas_Low_producing_wells,1B2b1,1B2biii2
emi_ch4_1B2b2_Natural_Gas_Compressor_Stations_Gathering,1B2b2,1B2biii4
emi_ch4_1B2b2_Natural_Gas_Compressor_Stations_Storage,1B2b2,1B2biii4
emi_ch4_1B2b2_Natural_Gas_Compressor_Stations_Transmission,1B2b2,1B2biii4
emi_ch4_1B2b2_Natural_Gas_Distribution_pipeline,1B2b2,1B2biii5
emi_ch4_1B2b2_Natural_Gas_Gathering_pipeline,1B2b2,1B2biii5
emi_ch4_1B2b2_Natural_Gas_Transmission_pipeline,1B2b2,1B2biii5
emi_ch4_1B2b3_Natural_Gas_End_use_Commercial_customer_meters,1B2b3,1B2biii6
emi_ch4_1B2b3_Natural_Gas_End_use_Other_Commercial_bldgs,1B2b3,1B2biii6
emi_ch4_1B2b3_Natural_Gas_End_use_Residential_appliances,1B2b3,1B2biii6
emi_ch4_1B2b3_Natural_Gas_End_use_Residential_buildings,1B2b3,1B2biii6
emi_ch4_1B2b3_Natural_Gas_End_use_Residential_customer_meters,1B2b3,1B2biii6
emi_ch4_1B2b3_Natural_Gas_End_use_Restaurants_hospitals,1B2b3,1B2biii6
emi_ch4_1B2b3_Natural_Gas_End_use_fugitives_LNG_storage,1B2b3,1B2biii6
emi_ch4_1B2d_Other_Abandoned_gas_wells,1B2d,1B3
emi_ch4_1B2d_Other_Abandoned_oil_wells,1B2d,1B3
emi_ch4_2C1_Iron_Steel_Production,2C1,2C1
emi_ch4_4A10_Enteric_Fermentation_Deer_Elk_livestock,4A10,3A1j
emi_ch4_4A1a_Enteric_Fermentation_Cattle_Dairy,4A1a,3A1ai
emi_ch4_4A1b_Enteric_Fermentation_Cattle_Non_Dairy,4A1b,3A1aii
emi_ch4_4A3_Enteric_Fermentation_Sheep,4A3,3A1c
emi_ch4_4A4_Enteric_Fermentation_Goats,4A4,3A1d
emi_ch4_4A6_Enteric_Fermentation_Horses,4A6,3A1f
emi_ch4_4B1a_Manure_Management_Cattle_Dairy,4B1a,3A2ai
emi_ch4_4B1b_Manure_Management_Cattle_Non_Dairy,4B1b,3A2aii
emi_ch4_4B6_Manure_Management_Horses,4B6,3A2f
emi_ch4_4B8_Manure_Management_Swine,4B8,3A2h
emi_ch4_4B9_Manure_Management_Chicken_manure_fertilizer,4B9,3A2i
emi_ch4_4B9_Manure_Management_Chickens,4B9,3A2i
emi_ch4_6A1_Landfills,6A1,4A1
emi_ch4_6B1_6B2_Domestic_Commercial_Industrial_Wastewater,6B1+6B2,4D
emi_ch4_6B3_Wastewater_Septic_systems,6B3,4D
emi_ch4_6B3_Wastewater_Sewer_emissions,6B3,4D
emi_ch4_6C_Waste_Incineration,6C,4C
