variable,IPCC2006,CRT
emis_ch4_1A1a,1A1a,1A1a
emis_ch4_1A2i,1A2i,1A2i
"emis_ch4_1A3a,c,d",1A3a+1A3c+1A3d,1A3a+1A3c+1A3d
emis_ch4_1A3b,1A3b,1A3b
emis_ch4_1A4a_1A2k,1A4a+1A2k,1A4a+1A2gv
emis_ch4_1A4b,1A4b,1A4b
emis_ch4_1A4c,1A4c,1A4c
emis_ch4_1A_other_industries,1A1cii,1A2g
emis_ch4_1B1,1B1,1B1
emis_ch4_1B2ai_LNGterminals,1B2ai,1B2ci1
emis_ch4_1B2ai_oilrefining,1B2ai,1B2ci1
emis_ch4_1B2ai_production,1B2ai,1B2ci1
emis_ch4_1B2ai_transport,1B2ai,1B2ci1
emis_ch4_1B2aii_LPGpipetransport,1B2aii,1B2cii1
emis_ch4_1B2aii_oilrefining,1B2aii,1B2cii1
emis_ch4_1B2aii_production,1B2aii,1B2cii1
"emis_ch4_1B2aiii1,2",1B2aiii1+1B2aiii2,1B2ai+1B2aii
emis_ch4_1B2aiii3,1B2aiii3,1B2aiii
emis_ch4_1B2aiii4,1B2aiii4,1B2aiv
emis_ch4_1B2aiii5,1B2aiii5,1B2av
emis_ch4_1B2bi_gasprocessing,1B2bi,1B2ci2
emis_ch4_1B2bi_production,1B2bi,1B2ci2
emis_ch4_1B2bi_transmission,1B2bi,1B2ci2
emis_ch4_1B2bii_gasprocessing,1B2bii,1B2cii2
emis_ch4_1B2bii_production,1B2bii,1B2cii2
"emis_ch4_1B2biii1,2,6",1B2biii1+1B2biii2+1B2biii6,1B2bi+1B2bii+1B2bvi
emis_ch4_1B2biii3,1B2biii3,1B2biii
emis_ch4_1B2biii4,1B2biii4,1B2biv
emis_ch4_1B2biii5,1B2biii5,1B2bv
emis_ch4_2B_total,2B,2B
emis_ch4_3A1a,3A1a,3A1
emis_ch4_3A1c,3A1c,3A2
emis_ch4_3A1d,3A1d,3A4d
"emis_ch4_3A1f,g",3A1f+3A1g,3A4e+3A4f
emis_ch4_3A1h,3A1h,3A3
emis_ch4_3A2a,3A2a,3B1
emis_ch4_3A2c,3A2c,3B2
emis_ch4_3A2d,3A2d,3B4d
"emis_ch4_3A2f,g",3A2f+3A2g,3B4e+3B4f
emis_ch4_3A2h,3A2h,3B3
emis_ch4_3A2i,3A2i,3B4g
emis_ch4_3C1a,3C1a,3E
emis_ch4_3C1b,3C1b,3F
emis_ch4_3C1c,3C1c,3E2
emis_ch4_3C7,3C7,3C
emis_ch4_4A1,4A1,5A1
emis_ch4_4A2,4A2,5A2
emis_ch4_4A3,4A3,5A3
emis_ch4_4B_total,4B,5B
emis_ch4_4C1,4C1,5C1
emis_ch4_4C2,4C2,5C2
emis_ch4_4D1_no_treatment,4D1,5D1
emis_ch4_4D1_treatment,4D1,5D1
emis_ch4_4D2_no_treatment,4D2,5D2
emis_ch4_4D2_treatment,4D2,5D2
