variable,IPCC2006,CRT
emi_ch4_1A_Combustion_Mobile,1A3,1A3
emi_ch4_1A_Combustion_Stationary,1A1+1A2,1A1+1A2
emi_ch4_1B1a_Abandoned_Coal,1B1ai3,1B1ai3
emi_ch4_1B1a_Surface_Coal,1B1aii,1B1aii
emi_ch4_1B1a_Underground_Coal,1B1ai,1B1ai
emi_ch4_1B2a_Petroleum_Systems_Exploration,1B2aiii1,1B2ai
emi_ch4_1B2a_Petroleum_Systems_Production,1B2aiii2,1B2aii
emi_ch4_1B2a_Petroleum_Systems_Refining,1B2aiii4,1B2aiv
emi_ch4_1B2a_Petroleum_Systems_Transport,1B2aiii3,1B2aiii
emi_ch4_1B2ab_Abandoned_Oil_Gas,1B2aiii+1B2biii,1B2avi1+1B2bvi2
emi_ch4_1B2b_Natural_Gas_Distribution,1B2biii5,1B2bv
emi_ch4_1B2b_Natural_Gas_Exploration,1B2biii1,1B2bi
emi_ch4_1B2b_Natural_Gas_Processing,1B2biii3,1B2biii
emi_ch4_1B2b_Natural_Gas_Production,1B2biii2,1B2bii
emi_ch4_1B2b_Natural_Gas_TransmissionStorage,1B2biii4,1B2biv
emi_ch4_2B8_Industry_Petrochemical,2B8,2B8
emi_ch4_2C2_Industry_Ferroalloy,2C2,2C2
emi_ch4_3A_Enteric_Fermentation,3A1,3A
emi_ch4_3B_Manure_Management,3A2,3B
emi_ch4_3C_Rice_Cultivation,3C7,3C
emi_ch4_3F_Field_Burning,3C1,3F
emi_ch4_5A1_Landfills_Industrial,4A,5A1
emi_ch4_5A1_Landfills_MSW,4A,5A1
emi_ch4_5B1_Composting,4B,5B1
emi_ch4_5D_Wastewater_Treatment_Domestic,4D1,5D1
emi_ch4_5D_Wastewater_Treatment_Industrial,4D2,5D2
